chr	start	end	strand	Gene_symbol
chr1	28735	29810	+	MIR1302-10
chr1	713984	714547	-	LOC100288069
chr1	762416	763445	+	LINC01128
chr1	854765	854973	-	LOC100130417
chr1	858970	861632	+	SAMD11
chr1	894313	902654	+	KLHL17
chr1	933387	937410	-	HES4
chr1	948670	948894	+	ISG15
chr1	954768	956343	+	AGRN
chr1	1050515	1050830	-	C1orf159
chr1	1072369	1072847	+	LINC01342
chr1	1109314	1110145	+	TTLL10
chr1	1115574	1116006	+	TTLL10
chr1	1141670	1142150	-	TNFRSF18
chr1	1149055	1149524	-	TNFRSF4
chr1	1167001	1168985	+	B3GALT6
chr1	1181756	1182470	-	FAM132A
chr1	1208515	1209942	-	UBE2J2
chr1	1242400	1245185	+	PUSL1
chr1	1247918	1248493	-	MIR6727
chr1	1259643	1260635	+	CPTP
chr1	1267085	1267286	+	TAS1R3
chr1	1283933	1285345	-	DVL1
chr1	1309140	1311039	-	AURKAIP1
chr1	1334071	1335602	+	LOC148413
chr1	1342004	1342952	-	MRPL20
chr1	1355159	1356000	-	ANKRD65
chr1	1361560	1361787	+	TMEM88B
chr1	1370767	1371449	+	VWA1
chr1	1406844	1407821	+	ATAD3B
chr1	1414034	1414532	+	ATAD3B
chr1	1446878	1448205	+	ATAD3A
chr1	1474962	1475220	-	TMEM240
chr1	1509482	1510747	-	SSU72
chr1	1534331	1536136	-	C1orf233
chr1	1550453	1552015	+	MIB2
chr1	1564421	1570006	+	MMP23A
chr1	1623610	1625067	-	SLC35E2B
chr1	1655395	1656231	-	CDK11B
chr1	1676885	1678333	-	SLC35E2
chr1	1709394	1710582	-	NADK
chr1	1821405	1823272	-	GNB1
chr1	1850098	1851391	-	TMEM52
chr1	1935166	1935452	-	CFAP74
chr1	1950411	1951479	+	GABRD
chr1	1981251	1983212	+	PRKCZ
chr1	2005179	2005565	+	PRKCZ
chr1	2126048	2126642	-	FAAP20
chr1	2144199	2144497	-	FAAP20
chr1	2158212	2161173	+	SKI
chr1	2322481	2323764	+	RER1
chr1	2343385	2344717	-	PEX10
chr1	2398825	2399055	+	PLCH2
chr1	2457241	2458259	-	PANK4
chr1	2460760	2462010	-	HES5
chr1	2517397	2518892	+	FAM213B
chr1	2706025	2706961	-	TTC34
chr1	2938633	2939043	+	ACTRT2
chr1	2983925	2987962	+	PRDM16
chr1	3370905	3371683	+	ARHGEF16
chr1	3527619	3528078	-	MEGF6
chr1	3540767	3542241	+	TPRG1L
chr1	3566445	3569636	+	TP73
chr1	3607096	3607553	+	TP73
chr1	3662963	3664085	-	TP73-AS1
chr1	3688553	3689684	+	SMIM1
chr1	3712398	3713234	-	LRRC47
chr1	3773187	3774465	+	DFFB
chr1	3816356	3818084	+	LINC01134
chr1	4713989	4716555	+	AJAP1
chr1	6051595	6052955	+	KCNAB2
chr1	6086244	6086494	+	KCNAB2
chr1	6239237	6240814	-	CHD5
chr1	6259178	6259883	-	RPL22
chr1	6265825	6266778	+	RNF207
chr1	6295528	6296261	+	LINC00337
chr1	6305148	6306463	+	HES3
chr1	6320137	6320942	-	GPR153
chr1	6452814	6454185	-	ACOT7
chr1	6479057	6480938	-	HES2
chr1	6484503	6485327	+	ESPN
chr1	6525996	6526228	-	TNFRSF25
chr1	6545143	6545559	-	PLEKHG5
chr1	6550083	6551115	-	PLEKHG5
chr1	6557561	6557872	-	PLEKHG5
chr1	6614136	6614835	+	TAS1R1
chr1	6639427	6640361	+	ZBTB48
chr1	6661776	6663844	-	KLHL21
chr1	6672786	6675741	+	PHF13
chr1	6685071	6685691	+	THAP3
chr1	6761295	6762131	-	DNAJC11
chr1	6844313	6846366	+	CAMTA1
chr1	7831378	7831846	+	VAMP3
chr1	7843460	7843693	+	PER3
chr1	8002408	8002699	-	TNFRSF9
chr1	8021301	8022226	+	PARK7
chr1	8085554	8086854	-	ERRFI1
chr1	8377784	8378447	+	SLC45A1
chr1	8483389	8484339	+	LOC102724552
chr1	8877012	8877283	-	RERE
chr1	8938098	8939409	+	ENO1-AS1
chr1	9188503	9189743	-	GPR157
chr1	9242167	9243827	+	LOC102724571
chr1	9294401	9295118	+	H6PD
chr1	9488937	9489249	-	LOC100506022
chr1	9599350	9600444	+	SLC25A33
chr1	9648586	9649517	+	TMEM201
chr1	9711780	9713001	+	PIK3CD
chr1	9883011	9884667	-	CLSTN1
chr1	9969845	9970063	-	CTNNBIP1
chr1	10003165	10003585	+	NMNAT1
chr1	10057121	10058108	+	RBP7
chr1	10092532	10093404	+	UBE4B
chr1	10270015	10271306	+	KIF1B
chr1	10458548	10459997	+	PGD
chr1	10490200	10491072	+	APITD1-CORT
chr1	10532177	10532800	-	DFFA
chr1	10534918	10535172	+	PEX14
chr1	10853894	10856964	-	CASZ1
chr1	11072319	11073245	+	TARDBP
chr1	11119030	11120634	-	SRM
chr1	11159387	11160136	+	LOC105376736
chr1	11322258	11323036	-	MTOR
chr1	11333259	11333547	+	UBIAD1
chr1	11538669	11540342	+	DISP3
chr1	11714217	11715304	+	FBXO44
chr1	11724113	11724885	+	FBXO6
chr1	11740828	11741717	-	MAD2L2
chr1	11750701	11752651	+	DRAXIN
chr1	11795975	11796263	+	AGTRAP
chr1	11822139	11822363	+	C1orf167
chr1	11865462	11866566	+	CLCN6
chr1	11919115	11919555	-	NPPB
chr1	11985643	11986634	-	KIAA2013
chr1	11994694	11994969	+	PLOD1
chr1	12040113	12040793	+	MFN2
chr1	12079251	12079903	+	MIIP
chr1	12123488	12124148	+	TNFRSF8
chr1	12226876	12227712	+	TNFRSF1B
chr1	12251777	12251985	+	MIR4632
chr1	12289954	12290585	+	VPS13D
chr1	12676983	12678642	-	DHRS3
chr1	13839505	13840613	-	LRRC38
chr1	13909606	13909842	+	PDPN
chr1	14026481	14027200	+	PRDM2
chr1	14075267	14076458	+	PRDM2
chr1	14924610	14925993	+	KAZN
chr1	15250373	15251545	+	KAZN
chr1	15479219	15481471	+	TMEM51
chr1	15573620	15573953	+	FHAD1
chr1	15736033	15737228	+	EFHD2
chr1	15850493	15850699	-	CASP9
chr1	15853108	15853663	+	DNAJC16
chr1	15911088	15911608	-	AGMAT
chr1	15943821	15944356	+	DDI2
chr1	16011266	16011502	+	PLEKHM2
chr1	16085147	16085862	+	FBLIM1
chr1	16173889	16175396	+	SPEN
chr1	16301902	16302672	-	ZBTB17
chr1	16399648	16400072	-	FAM131C
chr1	16481484	16482782	-	EPHA2
chr1	16563544	16563799	-	RSG1
chr1	16678574	16679192	-	FBXO42
chr1	16693621	16694270	+	SZRD1
chr1	16766998	16767803	+	NECAP2
chr1	16874401	16874813	+	MIR3675
chr1	16939456	16940454	-	NBPF1
chr1	16970855	16971492	+	MST1P2
chr1	17215421	17216094	-	LOC105376805
chr1	17306551	17307363	-	MFAP2
chr1	17337829	17338590	-	ATP13A2
chr1	17380456	17380722	-	SDHB
chr1	17445651	17446088	-	PADI2
chr1	17764072	17765811	-	RCC2
chr1	17865863	17866630	+	ARHGEF10L
chr1	18434105	18434813	+	IGSF21
chr1	18956895	18959829	+	PAX7
chr1	19209626	19209914	-	MIR4695
chr1	19228828	19229634	-	ALDH4A1
chr1	19281948	19283883	-	IFFO2
chr1	19536151	19537046	+	LOC101927895
chr1	19577884	19578708	+	MRTO4
chr1	19600249	19600942	-	AKR7L
chr1	19614998	19615660	-	AKR7A3
chr1	19638207	19639309	+	PQLC2
chr1	19811703	19812644	-	CAPZB
chr1	19923341	19924002	+	MINOS1
chr1	19970255	19971923	+	NBL1
chr1	19991146	19992788	+	HTR6
chr1	20126029	20126780	-	TMCO4
chr1	20208807	20209462	+	OTUD3
chr1	20512360	20512797	+	UBXN10
chr1	20810462	20813511	-	CAMK2N1
chr1	20834416	20834883	-	MUL1
chr1	20878894	20880592	+	FAM43B
chr1	20960045	20960551	+	PINK1
chr1	20987516	20988238	-	DDOST
chr1	21043832	21044771	-	KIF17
chr1	21058006	21059366	-	SH2D5
chr1	21112708	21114121	-	HP1BP3
chr1	21503115	21503836	-	EIF4G3
chr1	21616380	21617101	-	ECE1
chr1	21671360	21672319	-	ECE1
chr1	21766272	21767224	+	NBPF3
chr1	21835548	21836344	+	ALPL
chr1	21978101	21978764	-	RAP1GAP
chr1	21995063	21995914	-	RAP1GAP
chr1	22109129	22110261	-	USP48
chr1	22351917	22352194	+	LINC00339
chr1	22379009	22380029	+	CDC42
chr1	22468912	22470252	-	WNT4
chr1	22778236	22778817	+	ZBTB40
chr1	22889595	22890096	+	EPHA8
chr1	23036823	23038362	+	EPHB2
chr1	23345814	23346677	+	KDM1A
chr1	23670245	23671363	-	HNRNPR
chr1	23694690	23696050	+	ZNF436-AS1
chr1	23750508	23751663	-	TCEA3
chr1	23809977	23810693	-	ASAP3
chr1	23857033	23858089	-	E2F2
chr1	23885682	23886212	-	ID3
chr1	24018355	24018567	+	RPL11
chr1	24069695	24070615	+	TCEB3
chr1	24104502	24105263	+	PITHD1
chr1	24117482	24117824	+	LYPLA2
chr1	24126799	24127549	-	GALE
chr1	24194254	24194990	-	FUCA1
chr1	24285785	24286701	+	PNRC2
chr1	24306363	24307017	-	SRSF10
chr1	24513540	24514477	-	IFNLR1
chr1	24648202	24648985	+	GRHL3
chr1	24739857	24740262	-	STPG1
chr1	24742671	24743039	+	NIPAL3
chr1	24828865	24829878	+	RCAN3
chr1	24969027	24970196	+	SRRM1
chr1	25071352	25072586	+	CLIC4
chr1	25255527	25259005	-	RUNX3
chr1	25558563	25559178	-	SYF2
chr1	25572966	25574521	-	RSRP1
chr1	25663606	25664007	+	TMEM50A
chr1	25756470	25758115	+	TMEM57
chr1	25869893	25871042	+	LDLRAP1
chr1	25942661	25943191	+	MAN1C1
chr1	26146122	26147349	+	MTFR1L
chr1	26185472	26186356	-	AUNIP
chr1	26231950	26233624	-	STMN1
chr1	26324549	26324934	-	PAFAH2
chr1	26372281	26373313	-	SLC30A2
chr1	26437319	26438917	+	PDIK1L
chr1	26496179	26496824	+	ZNF593
chr1	26551517	26552194	+	LOC101928303
chr1	26560449	26561028	+	CEP85
chr1	26606362	26606913	+	SH3BGRL3
chr1	26632836	26633316	-	UBXN11
chr1	26737246	26738148	+	LIN28A
chr1	26758492	26758856	+	DHDDS
chr1	26798366	26799842	+	HMGN2
chr1	26856191	26856684	+	RPS6KA1
chr1	27021833	27024101	+	ARID1A
chr1	27114118	27114692	+	PIGV
chr1	27153033	27153243	+	ZDHHC18
chr1	27189912	27190128	+	SFN
chr1	27216161	27217045	-	GPN2
chr1	27226492	27227009	-	GPATCH3
chr1	27248048	27248619	+	NUDC
chr1	27286065	27287101	-	KDF1
chr1	27320127	27321146	+	TRNP1
chr1	27338879	27339441	-	FAM46B
chr1	27481345	27481742	-	SLC9A1
chr1	27560705	27561707	+	WDTC1
chr1	27648453	27649006	+	TMEM222
chr1	27692412	27693243	-	MAP3K6
chr1	27709600	27709831	-	CD164L2
chr1	27718892	27719349	+	GPR3
chr1	27816342	27816853	-	WASF2
chr1	27929705	27930866	-	AHDC1
chr1	27960567	27961023	-	FGR
chr1	28052145	28053002	+	FAM76A
chr1	28099628	28100031	+	STX12
chr1	28157221	28157788	+	PPP1R8
chr1	28199031	28199257	+	THEMIS2
chr1	28240584	28241535	-	RPA2
chr1	28285020	28285304	+	XKR8
chr1	28415098	28415312	-	EYA3
chr1	28559145	28559597	-	DNAJC8
chr1	28562510	28562976	+	ATPIF1
chr1	28585831	28587249	+	SESN2
chr1	28655365	28655667	+	MED18
chr1	28696041	28696731	+	PHACTR4
chr1	28844653	28845293	+	RCC1
chr1	28879402	28879704	+	TRNAU1AP
chr1	28908069	28908799	-	SNORA16A
chr1	28919041	28919454	+	RAB42
chr1	28969553	28969898	-	TAF12
chr1	29063066	29064315	+	YTHDF2
chr1	29138501	29139348	+	OPRD1
chr1	29213438	29214300	+	EPB41
chr1	29240768	29241969	+	EPB41
chr1	29447699	29451847	-	TMEM200B
chr1	29507976	29508686	-	SRSF4
chr1	29557220	29557627	-	MECR
chr1	29562745	29565307	+	PTPRU
chr1	31190972	31191221	+	MATN1-AS1
chr1	31380844	31381078	-	SDC3
chr1	31538412	31538938	-	PUM1
chr1	31712078	31712812	-	NKAIN1
chr1	31769246	31769978	+	ZCCHC17
chr1	31885794	31887010	+	SERINC2
chr1	32083149	32084069	+	HCRTR1
chr1	32110210	32110961	-	PEF1
chr1	32169537	32169869	-	COL16A1
chr1	32228347	32230252	-	ADGRB2
chr1	32403387	32404382	-	PTP4A2
chr1	32479102	32480583	+	KHDRBS1
chr1	32538205	32539052	+	TMEM39B
chr1	32574061	32574318	+	KPNA6
chr1	32645154	32645814	+	TXLNA
chr1	32666231	32666460	+	CCDC28B
chr1	32670569	32671885	+	IQCC
chr1	32687521	32688040	+	EIF3I
chr1	32705524	32707141	-	MTMR9LP
chr1	32740710	32741544	+	LCK
chr1	32757414	32758034	+	HDAC1
chr1	32800859	32802229	-	MARCKSL1
chr1	32826944	32828017	+	TSSK3
chr1	32859770	32860348	-	BSDC1
chr1	32930500	32931061	+	ZBTB8B
chr1	33005423	33005739	+	ZBTB8A
chr1	33116543	33117363	+	RBBP4
chr1	33168019	33168865	-	SYNC
chr1	33207636	33207874	+	KIAA1522
chr1	33282675	33283906	+	S100PBP
chr1	33351686	33352397	+	HPCA
chr1	33366792	33367002	-	TMEM54
chr1	33429531	33430513	-	RNF19B
chr1	33502201	33502719	-	AK2
chr1	33546524	33547243	+	AZIN2
chr1	33646613	33647878	-	TRIM62
chr1	33721448	33721703	+	ZNF362
chr1	33814783	33815770	+	LOC101929464
chr1	33938025	33938328	+	ZSCAN20
chr1	34628783	34630976	-	CSMD2
chr1	34642382	34643024	+	C1orf94
chr1	35246876	35247599	+	GJB3
chr1	35258564	35258791	+	GJA4
chr1	35325182	35325550	-	SMIM12
chr1	35394747	35396206	-	DLGAP3
chr1	35450649	35451037	-	ZMYM6NB
chr1	35497121	35497587	-	ZMYM6
chr1	35544927	35545303	+	ZMYM1
chr1	35657467	35658811	-	SFPQ
chr1	35734223	35734855	+	ZMYM4
chr1	36022680	36023834	+	NCDN
chr1	36038927	36040051	+	TFAP2E
chr1	36106969	36107261	-	PSMB2
chr1	36184248	36184774	-	C1orf216
chr1	36234924	36235800	-	CLSPN
chr1	36273499	36274461	+	AGO4
chr1	36348501	36349731	+	AGO1
chr1	36396249	36397262	+	AGO3
chr1	36549554	36549965	+	TEKT2
chr1	36554325	36554955	+	ADPRHL2
chr1	36590761	36591121	-	COL8A2
chr1	36614855	36615462	-	TRAPPC3
chr1	36621451	36622310	+	MAP7D1
chr1	36689759	36690087	+	THRAP3
chr1	36771830	36773009	+	SH3D21
chr1	36786500	36789402	-	EVA1B
chr1	36851089	36851873	-	STK40
chr1	36863211	36863603	-	LSM10
chr1	36915796	36916324	-	OSCP1
chr1	36929414	36930131	-	MRPS15
chr1	37498377	37500624	-	GRIK3
chr1	37939723	37940650	+	ZC3H12A
chr1	37980071	37980565	-	MEAF6
chr1	38019606	38019823	-	SNIP1
chr1	38022452	38022719	+	DNALI1
chr1	38061428	38061740	-	GNL2
chr1	38099677	38100864	-	RSPO1
chr1	38156042	38156279	-	C1orf109
chr1	38157295	38158586	+	CDCA8
chr1	38229838	38230888	-	EPHA10
chr1	38259095	38260427	+	MANEAL
chr1	38273374	38274402	+	C1orf122
chr1	38325150	38325999	-	MTF1
chr1	38397236	38397721	-	INPP5B
chr1	38455232	38455769	-	SF3A3
chr1	38470617	38471396	-	FHL3
chr1	38478082	38478727	+	UTP11
chr1	38510102	38513642	-	POU3F1
chr1	39324815	39325721	-	RRAGC
chr1	39338479	39339349	+	LOC105378663
chr1	39456655	39457271	+	AKIRIN1
chr1	39874018	39875239	+	KIAA0754
chr1	39956424	39958137	+	BMP8A
chr1	39980365	39981768	+	OXCT2P1
chr1	40041317	40042667	-	PABPC4
chr1	40105010	40105707	-	HEYL
chr1	40136988	40138087	-	NT5C1A
chr1	40156930	40158514	-	HPCAL4
chr1	40204312	40204739	+	PPIE
chr1	40235767	40237190	-	OXCT2
chr1	40253683	40255172	-	BMP8B
chr1	40348941	40349288	-	TRIT1
chr1	40366595	40368213	-	MYCL
chr1	40420487	40421366	+	MFSD2A
chr1	40505411	40506703	+	CAP1
chr1	40562666	40563128	-	PPT1
chr1	40626913	40627612	+	RLF
chr1	40723386	40723698	+	ZMPSTE24
chr1	40781679	40781956	-	COL9A2
chr1	40839215	40840022	+	SMAP2
chr1	40915605	40916072	+	ZFP69B
chr1	40942784	40943387	+	ZFP69
chr1	40974056	40974786	+	EXO5
chr1	40997160	40997439	+	ZNF684
chr1	41131111	41131378	-	RIMS3
chr1	41157162	41157975	+	NFYC
chr1	41249090	41250161	+	KCNQ4
chr1	41326949	41328285	-	CITED4
chr1	41444870	41446116	+	CTPS1
chr1	41706957	41708327	-	SCMH1
chr1	41826680	41828290	+	FOXO6
chr1	42383640	42384003	-	HIVEP3
chr1	42500855	42501980	-	HIVEP3
chr1	42800265	42801370	-	FOXJ3
chr1	42845978	42846988	+	RIMKLA
chr1	42921716	42922575	+	PPCS
chr1	43123977	43124422	+	PPIH
chr1	43147500	43149016	+	YBX1
chr1	43232214	43233359	+	C1orf50
chr1	43250762	43251082	-	LOC105378683
chr1	43282574	43283090	+	ERMAP
chr1	43312258	43312513	+	ZNF691
chr1	43423467	43424768	+	SLC2A1-AS1
chr1	43613488	43613842	+	FAM183A
chr1	43637503	43638052	+	CFAP57
chr1	43824134	43825059	+	CDC20
chr1	43832814	43833073	-	ELOVL1
chr1	43855375	43855921	+	SZT2
chr1	43919083	43919814	-	HYI
chr1	43996724	43997592	+	PTPRF
chr1	44115616	44116309	+	KDM4A
chr1	44172668	44173763	+	ST3GAL3
chr1	44399068	44399535	+	ARTN
chr1	44412073	44412804	+	IPO13
chr1	44435409	44436114	+	DPH2
chr1	44440142	44441256	+	ATP6V0B
chr1	44444635	44445622	+	B4GALT2
chr1	44457150	44457772	+	CCDC24
chr1	44495629	44497112	-	SLC6A9
chr1	44679003	44679465	+	DMAP1
chr1	44820657	44821113	-	ERI3
chr1	44871109	44874047	+	RNF220
chr1	45139770	45140584	+	C1orf228
chr1	45205323	45205745	+	KIF2C
chr1	45241013	45241900	+	SNORD46
chr1	45265534	45266783	+	PLK3
chr1	45271679	45272318	-	TCTEX1D4
chr1	45308543	45309159	-	PTCH2
chr1	45452037	45452444	-	EIF2B3
chr1	45476225	45477022	+	UROD
chr1	45671702	45672388	-	ZSWIM5
chr1	45769213	45769917	+	LINC01144
chr1	45792419	45793301	+	HPDL
chr1	45805564	45805983	+	TOE1
chr1	45956345	45956893	-	TESK2
chr1	45965586	45966049	+	MMACHC
chr1	45987163	45987803	-	PRDX1
chr1	46016403	46016694	+	AKR1A1
chr1	46049590	46050582	+	NASP
chr1	46088194	46089142	-	CCDC17
chr1	46151751	46153080	+	TMEM69
chr1	46216233	46216514	-	IPP
chr1	46269099	46269820	+	MAST2
chr1	46598126	46599129	+	LOC101929626
chr1	46668821	46669258	+	LURAP1
chr1	46767425	46769036	+	UQCRH
chr1	46806339	46806836	+	NSUN4
chr1	46859724	46860291	+	FAAH
chr1	47069615	47070179	-	MKNK1
chr1	47082016	47082526	-	MOB3C
chr1	47133674	47134395	-	ATPAF1
chr1	47184402	47185083	-	EFCAB14
chr1	47489226	47489633	+	CYP4X1
chr1	47696504	47698197	-	TAL1
chr1	47779707	47780211	-	STIL
chr1	47799411	47800426	+	CMPK1
chr1	47881896	47883065	+	FOXE3
chr1	47899125	47899398	-	FOXD2-AS1
chr1	47902793	47905518	-	LINC01389
chr1	48462131	48462976	-	TRABD2B
chr1	48937304	48937683	-	SPATA6
chr1	49242371	49242810	-	BEND5
chr1	50489417	50489846	-	AGBL4
chr1	50513644	50514320	+	ELAVL4
chr1	50884228	50891471	-	DMRTA2
chr1	51425447	51426070	-	FAF1
chr1	51433762	51435505	+	CDKN2C
chr1	51701767	51702542	+	RNF11
chr1	51796097	51796589	+	TTC39A-AS1
chr1	51810327	51810687	-	TTC39A
chr1	51984547	51985216	-	EPS15
chr1	52195028	52195821	+	OSBPL9
chr1	52344178	52344939	-	NRDC
chr1	52455970	52456453	-	RAB3B
chr1	52498452	52499505	-	KTI12
chr1	52520746	52521124	+	BTF3L4
chr1	52607400	52608504	+	ZFYVE9
chr1	52831511	52832181	-	CC2D1B
chr1	52869867	52870305	+	PRPF38A
chr1	53018258	53019599	-	ZCCHC11
chr1	53067880	53068608	+	GPX7
chr1	53098629	53099303	+	FAM159A
chr1	53163688	53164180	-	COA7
chr1	53192023	53192428	+	ZYG11B
chr1	53308294	53309262	+	ZYG11A
chr1	53386617	53387523	-	ECHDC2
chr1	53392880	53393645	+	SCP2
chr1	53527572	53528974	+	PODN
chr1	53662309	53662815	+	CPT2
chr1	53685945	53686391	-	C1orf123
chr1	53703959	53704642	+	LOC100507564
chr1	53791687	53793496	+	LOC105378732
chr1	53904140	53905247	-	SLC25A3P1
chr1	53925191	53926228	+	DMRTB1
chr1	54303758	54304262	-	NDC1
chr1	54355354	54355656	-	YIPF1
chr1	54411057	54411943	+	LRRC42
chr1	54518601	54519299	+	TCEANC2
chr1	54665821	54666259	+	MRPL37
chr1	54870853	54872476	-	SSBP3
chr1	55181345	55181853	+	TTC4
chr1	55229992	55230369	-	PARS2
chr1	55266277	55267058	-	TTC22
chr1	55271665	55271972	+	LEXM
chr1	55352463	55353328	-	DHCR24
chr1	55446087	55446846	+	TMEM61
chr1	55505060	55506015	+	PCSK9
chr1	55680465	55681708	+	LOC100507634
chr1	57044102	57045117	-	PLPP3
chr1	57110663	57111337	+	PRKAA2
chr1	58715272	58716095	-	DAB1
chr1	59012326	59012577	-	OMA1
chr1	59042013	59043295	-	TACSTD2
chr1	59247461	59250940	+	LINC01135
chr1	59612407	59612723	-	HSD52
chr1	59762102	59762794	+	FGGY
chr1	60280624	60281048	+	HOOK1
chr1	60392272	60392583	-	CYP2J2
chr1	60539315	60539540	-	C1orf87
chr1	61542537	61542877	+	NFIA
chr1	61548753	61549564	+	NFIA
chr1	62119874	62120093	+	MGC34796
chr1	62190647	62190942	-	TM2D1
chr1	62207827	62208818	+	PATJ
chr1	62660555	62660946	+	L1TD1
chr1	62784136	62785133	-	KANK4
chr1	62901651	62903667	+	USP1
chr1	63153380	63154349	-	DOCK7
chr1	63782394	63790471	+	FOXD3
chr1	63833109	63833821	+	ALG6
chr1	64058937	64059913	+	PGM1
chr1	64239465	64240779	+	ROR1
chr1	64935554	64936614	+	CACHD1
chr1	64971358	64971604	+	CACHD1
chr1	65210282	65211238	+	RAVER2
chr1	65431455	65432614	-	JAK1
chr1	65468272	65468828	-	LINC01359
chr1	65613041	65614898	+	AK4
